         ps       /tb_memory_controller/UUT/address_a             /tb_memory_controller/UUT/data_b  /tb_memory_controller/UUT/write_protect       /tb_memory_controller/UUT/q_b  /tb_memory_controller/UUT/last_wren_a                    
          delta              /tb_memory_controller/UUT/address_b   /tb_memory_controller/UUT/inclock          /tb_memory_controller/UUT/reset  /tb_memory_controller/UUT/local_wren_a                                                     
                                                 /tb_memory_controller/UUT/data_a  /tb_memory_controller/UUT/wren_b              /tb_memory_controller/UUT/q_a  /tb_memory_controller/UUT/local_wren_b                                    
                                                                    /tb_memory_controller/UUT/outclock                                    /tb_memory_controller/UUT/read_activity                                                         
                                                                        /tb_memory_controller/UUT/wren_a                                   /tb_memory_controller/UUT/write_activity                                                       
     130000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     135000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     140000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     145000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     150000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     155000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     160000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     165000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     170000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     175000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     180000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     185000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     190000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     195000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
